Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	17	2.5	1.37E-14	SMC03020, SMC03032, SMC03040, SMC03030, SMC03024, SMC03035, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03037, SMC03027, SMC03049, SMC03038, SMC03019	239	17	2016	8.43514644351465	2.00E-12	9.90E-13	9.56E-13	
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	17	2.5	2.57E-13	SMC03020, SMC03021, SMC03032, SMC03040, SMC03030, SMC03024, SMC03047, SMC03014, SMC03034, SMC03028, SMC03039, SMC03029, SMC03048, SMC03037, SMC03049, SMC03038, SMC03019	222	18	1771	7.53428428428428	3.09E-12	7.72E-13	5.14E-13	
GOTERM_CC_DIRECT	GO:0005840~ribosome	24	3.52941176470588	4.24E-10	SMC01308, SMC01307, SMC01318, SMC03859, SMC01804, SMC01309, SMC01283, SMC01294, SMC01293, SMC01296, SMC01295, SMC02692, SMC01298, SMC01297, SMC01300, SMC01310, SMC01321, SMC01302, SMC00565, SMC01301, SMC00567, SMC01303, SMC00335, SMC00568	263	44	1971	4.08779813342551	1.27E-08	1.27E-08	1.10E-08	
UP_KW_BIOLOGICAL_PROCESS	KW-0145~Chemotaxis	11	1.61764705882353	6.10E-08	SMC03020, SMC03021, SMC03043, SMC03010, SMC03035, SMC03022, SMC03012, SMC03007, SMC03004, SMC03008, SMC03019	154	13	1339	7.35714285714286	3.30E-06	3.30E-06	2.93E-06	
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	13	1.91176470588235	1.33E-07	SMC03090, SMC03020, SMC03021, SMC03043, SMC03010, SMC03035, SMC03022, SMC03012, SMC03007, SMC01104, SMC03004, SMC03019, SMC03008	239	19	2016	5.77141598766792	1.93E-05	6.40E-06	6.18E-06	
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	8	1.17647058823529	4.35E-07	SMC03032, SMC03040, SMC03039, SMC03029, SMC03037, SMC03048, SMC03038, SMC03049	324	8	3453	10.6574074074074	9.52E-05	3.17E-05	3.13E-05	
UP_KW_BIOLOGICAL_PROCESS	KW-0536~Nodulation	16	2.35294117647059	1.03E-06	SMA0849, SM_B21284, SMA0868, SMA0878, SMA0869, SMA0853, SMA0875, SMA0863, SMA0852, SMC00353, SMA0866, SMA0855, SMA0876, SMA0772, SMA0851, SMA0773	154	34	1339	4.0916730328495	5.56E-05	2.78E-05	2.47E-05	
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	10	1.47058823529412	1.12E-05	SMA1273, SMA1220, SMA1182, SM_B21487, SM_B21489, SMC01982, SMA0765, SM_B21488, SMC01984, SMC01985	324	18	3453	5.92078189300411	0.002442125118662	6.11E-04	6.03E-04	
GOTERM_CC_DIRECT	GO:0015934~large ribosomal subunit	7	1.02941176470588	3.26E-05	SMC01319, SMC01291, SMC03881, SMC01299, SMC01304, SMC01306, SMC01290	263	7	1971	7.49429657794677	9.78E-04	4.89E-04	4.24E-04	
UP_KW_BIOLOGICAL_PROCESS	KW-0270~Exopolysaccharide synthesis	12	1.76470588235294	5.15E-05	SM_B20958, SM_B20957, SM_B20946, SM_B20959, SM_B20948, SM_B20961, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	154	26	1339	4.01298701298701	0.002776341268416	9.27E-04	8.24E-04	
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	15	2.20588235294118	8.13E-05	SM_B21294, SMC00912, SMC00913, SMC00949, SM_B22023, SM_B21566, SMC04040, SMA0175, SMC01142, SMC02376, SMA0744, SMA0745, SMA1118, SMC01106, SMC02857	154	41	1339	3.18102629078239	0.004383082243135	0.001080382232604	9.60E-04	
UP_KW_BIOLOGICAL_PROCESS	KW-0283~Flagellar rotation	6	0.882352941176471	1.00E-04	SMC03020, SMC03021, SMC03043, SMC03035, SMC03022, SMC03019	154	6	1339	8.6948051948052	0.005387615830768	0.001080382232604	9.60E-04	
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	12	1.76470588235294	1.15E-04	SMC00912, SMC02050, SMC00913, SMC01142, SM_B22023, SMC02136, SM_B21566, SMA0744, SMA0745, SMA1239, SMC02857, SMC01721	244	31	2419	3.83765203595981	0.004461027789007	8.94E-04	8.02E-04	
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	6	0.882352941176471	2.15E-04	SMC03040, SMC03025, SMC03039, SMC03037, SMC03038, SMC03049	263	6	1971	7.49429657794677	0.006418557960448	0.002146184819504	0.00186002684357	
UP_SEQ_FEATURE	DOMAIN:Flg_bbr_C	5	0.735294117647059	3.19E-04	SMC03030, SMC03024, SMC03047, SMC03028, SMC03048	398	5	4346	10.9195979899498	0.125794535732611	0.044806144492354	0.044381441700957	
UP_SEQ_FEATURE	DOMAIN:Flg_bb_rod	5	0.735294117647059	3.19E-04	SMC03030, SMC03024, SMC03047, SMC03028, SMC03027	398	5	4346	10.9195979899498	0.125794535732611	0.044806144492354	0.044381441700957	
UP_SEQ_FEATURE	DOMAIN:Flagellin_D0/D1	5	0.735294117647059	3.19E-04	SMC03040, SMC03039, SMC03037, SMC03038, SMC03049	398	5	4346	10.9195979899498	0.125794535732611	0.044806144492354	0.044381441700957	
GOTERM_MF_DIRECT	GO:0003774~motor activity	5	0.735294117647059	3.49E-04	SMC03020, SMC03014, SMC03034, SMC03029, SMC03019	324	5	3453	10.6574074074074	0.073504422289578	0.015266540072912	0.015057409386981	
INTERPRO	IPR001029:Flagellin, D0/D1 domain	5	0.735294117647059	3.64E-04	SMC03040, SMC03039, SMC03037, SMC03038, SMC03049	463	5	4890	10.561555075594	0.277412156008605	0.108285704617116	0.108042911557436	
INTERPRO	IPR010930:Flagellar basal-body/hook protein, C-terminal domain	5	0.735294117647059	3.64E-04	SMC03030, SMC03024, SMC03047, SMC03028, SMC03048	463	5	4890	10.561555075594	0.277412156008605	0.108285704617116	0.108042911557436	
INTERPRO	IPR001444:Flagellar basal body rod protein, N-terminal	5	0.735294117647059	3.64E-04	SMC03030, SMC03024, SMC03047, SMC03028, SMC03027	463	5	4890	10.561555075594	0.277412156008605	0.108285704617116	0.108042911557436	
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	8	1.17647058823529	3.80E-04	SMC03040, SMC03039, SMC03037, SMC03048, SMC03038, SMC03049, SM_B20955, SMA1587	222	13	1771	4.90921690921691	0.004551862148984	9.12E-04	6.08E-04	
UP_SEQ_FEATURE	REGION:Disordered	82	12.0588235294118	4.59E-04	SMC01308, SM_B20019, SMC03042, SMC03043, SMC01142, SMC03044, SMC03881, SMC01022, SMC00332, SMC01266, SMC03007, SMC03004, SMC01104, SMC03203, SMC01469, SMA1179, SMC01303, SMC02436, SMC01306, SMC01547, SMC00975, SMC02726, SMC03859, SMA1166, SMA0670, SMC01030, SMC03052, SMC03057, SMC03773, SMC03014, SMA0875, SMA0633, SMC03857, SM_B21190, SMC00821, SM_B21640, SM_B21287, SM_B21440, SM_B20197, SM_B21487, SM_B20954, SM_B20910, SM_B20359, SMC01290, SMC02172, SMC02050, SMA0142, SMA1550, SMC02692, SMC02255, SMC05008, SMC04316, SMA0866, SMC04236, SMA0667, SMA1118, SMC01721, SMC02857, SMC01815, SMA0815, SM_B22024, SMC04292, SM_B20846, SM_B20603, SMA0690, SMC02061, SMA0175, SM_B20959, SMC04444, SMC02101, SMA1183, SMC03034, SMC00640, SMC00485, SMC02501, SMC00565, SMC01016, SMA1822, SMA2037, SMA0892, SMC00568, SMC00887	398	629	4346	1.42354059646404	0.176151844268827	0.048431140895349	0.047972077948473	
INTERPRO	IPR001173:Glycosyl transferase, family 2	8	1.17647058823529	8.10E-04	SM_B20958, SM_B20957, SM_B20748, SM_B20959, SM_B20948, SM_B21189, SMA0866, SM_B21190	463	18	4890	4.69402447804176	0.514684876045477	0.180344622933768	0.179940262792661	
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	5	0.735294117647059	8.61E-04	SMA2404, SMA2406, SMA2400, SMA2410, SMA2402	239	5	2016	8.43514644351465	0.117462146427522	0.031009598981231	0.029932876794382	
INTERPRO	IPR006015:Universal stress protein A	5	0.735294117647059	0.001010900352768	SMA1100, SMA1231, SMA1149, SMA1158, SMA1147	463	6	4890	8.80129589632829	0.594315371439319	0.180344622933768	0.179940262792661	
GOTERM_CC_DIRECT	GO:0015935~small ribosomal subunit	5	0.735294117647059	0.001369675199008	SMC01292, SMC02101, SMC00485, SMC01313, SMC01305	263	5	1971	7.49429657794677	0.040284528057941	0.00843322140406	0.007308791883519	
GOTERM_CC_DIRECT	GO:0009425~bacterial-type flagellum basal body	6	0.882352941176471	0.001592266180574	SMC03020, SMC03021, SMC03035, SMC03047, SMC03029, SMC03019	263	8	1971	5.62072243346008	0.046681339947608	0.00843322140406	0.007308791883519	
GOTERM_CC_DIRECT	GO:0005576~extracellular region	8	1.17647058823529	0.001686644280812	SMC03040, SMC03039, SMC03037, SMC03048, SMC03038, SMC03049, SM_B20955, SMA1587	263	15	1971	3.99695817490494	0.049381114430417	0.00843322140406	0.007308791883519	
UP_SEQ_FEATURE	DOMAIN:Usp	5	0.735294117647059	0.001919866093559	SMA1100, SMA1231, SMA1149, SMA1158, SMA1147	398	7	4346	7.79971284996411	0.55556977489385	0.162036698296347	0.1605008054215	
GOTERM_BP_DIRECT	GO:0007165~signal transduction	8	1.17647058823529	0.00200433990556	SMC00992, SMC03090, SMC03004, SMC01104, SMC00765, SMC01469, SMC03008, SMC00975	239	17	2016	3.96948067930101	0.252425218080499	0.048232421624265	0.046557684762311	
GOTERM_BP_DIRECT	GO:0000271~polysaccharide biosynthetic process	11	1.61764705882353	0.002023893681825	SM_B20958, SM_B20957, SM_B20946, SM_B20959, SM_B20948, SM_B20960, SM_B20954, SM_B20956, SM_B20955, SMA1587, SM_B20944	239	31	2016	2.99311647995681	0.254546078636359	0.048232421624265	0.046557684762311	
UP_KW_BIOLOGICAL_PROCESS	KW-0113~Calvin cycle	5	0.735294117647059	0.002048470168277	SM_B20198, SM_B20197, SM_B20200, SM_B20199, SM_B20201	154	6	1339	7.245670995671	0.104820338960718	0.01843623151449	0.016387761346214	
GOTERM_BP_DIRECT	GO:0019253~reductive pentose-phosphate cycle	5	0.735294117647059	0.002344631606735	SM_B20198, SM_B20197, SM_B20200, SM_B20199, SM_B20201	239	6	2016	7.02928870292887	0.288493525075979	0.048232421624265	0.046557684762311	
UP_SEQ_FEATURE	DOMAIN:SHSP	4	0.588235294117647	0.002822087586088	SM_B21294, SMA1118, SMC01106, SMC04040	398	4	4346	10.9195979899497	0.696570070895368	0.174319179205798	0.172666864710956	
UP_SEQ_FEATURE	DOMAIN:Glyco_trans_2-like	7	1.02941176470588	0.002891550365973	SM_B20958, SM_B20957, SM_B20748, SM_B20959, SM_B21189, SMA0866, SM_B21190	398	17	4346	4.49630505468519	0.70536024755902	0.174319179205798	0.172666864710956	
INTERPRO	IPR002068:Alpha crystallin/Hsp20 domain	4	0.588235294117647	0.003117289440087	SM_B21294, SMA1118, SMC01106, SMC04040	463	4	4890	10.561555075594	0.938268763416215	0.347577772569655	0.346798450209633	
INTERPRO	IPR008978:HSP20-like chaperone	4	0.588235294117647	0.003117289440087	SM_B21294, SMA1118, SMC01106, SMC04040	463	4	4890	10.561555075594	0.938268763416215	0.347577772569655	0.346798450209633	
INTERPRO	IPR001492:Flagellin	4	0.588235294117647	0.003117289440087	SMC03040, SMC03039, SMC03037, SMC03038	463	4	4890	10.561555075594	0.938268763416215	0.347577772569655	0.346798450209633	
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	11	1.61764705882353	0.003255568658104	SMA1273, SMA1232, SMA1220, SM_B21487, SM_B21489, SMC01982, SMA0765, SM_B21488, SMA1211, SMA1236, SMA1213	154	34	1339	2.81302521008403	0.161455388989888	0.025114386791089	0.022323899369857	
INTERPRO	IPR006016:UspA	5	0.735294117647059	0.004041863783654	SMA1100, SMA1231, SMA1149, SMA1158, SMA1147	463	8	4890	6.60097192224622	0.973019700823681	0.400593610557721	0.399695418605798	
UP_KW_MOLECULAR_FUNCTION	KW-0675~Receptor	7	1.02941176470588	0.004609160345998	SMC02726, SMC02890, SMC03012, SMA2414, SMC03004, SMC01104, SMC00975	244	17	2419	4.08220829315333	0.164874107350301	0.026638871535854	0.023906679583459	
UP_KW_MOLECULAR_FUNCTION	KW-0807~Transducer	5	0.735294117647059	0.005020347612587	SMC03004, SMC01104, SMC00765, SMC01469, SMC00975	244	8	2419	6.19620901639344	0.17822338920813	0.026638871535854	0.023906679583459	
SMART	SM00283:MA	5	0.735294117647059	0.005106983836019	SMC03004, SMC01104, SMC00765, SMC01469, SMC00975	96	9	1075	6.22106481481482	0.304778585668174	0.362595852357362	0.362595852357362	
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	63	9.26470588235294	0.005464383904791	SM_B20097, SMA1538, SM_B20013, SMC01907, SM_B20573, SMA1296, SMC00092, SM_B20409, SMA5011, SMA1250, SMC04452, SMC01982, SMA1216, SMA0765, SMC01984, SMA0007, SMA0766, SMC01985, SMC03968, SMA1214, SMA1213, SMC03938, SMC03939, SM_B20100, SM_B21556, SM_B21558, SMC01030, SMC03211, SMC03253, SMC01159, SMC04346, SMC02049, SMC00105, SMC00943, SM_B21640, SM_B21287, SM_B20198, SM_B21487, SM_B20991, SM_B21489, SM_B21488, SM_B20710, SMA1273, SMA1276, SMA5031, SMC03103, SMA1156, SMA1236, SM_B21691, SMC01815, SM_B20846, SMC04291, SMA1182, SMC01175, SMC04444, SMC01053, SMC03950, SMC04049, SMC02467, SM_B20080, SMC02349, SMA1266	244	461	2419	1.35483268731553	0.192405628699134	0.026638871535854	0.023906679583459	
UP_KW_LIGAND	KW-0408~Iron	28	4.11764705882353	0.005743155787496	SM_B21488, SMC00092, SMA1273, SMA1276, SMA1232, SMA1292, SMA1291, SMC02255, SMA1216, SMA0765, SMA0766, SMA1211, SMA1233, SMA1236, SMA1213, SMC01815, SMA0814, SMA1240, SMC02042, SMA1220, SMC03211, SMC04444, SMC03253, SMA2414, SMA1266, SMC02601, SM_B21292	110	154	985	1.62809917355372	0.139078962702938	0.149322050474908	0.149322050474908	
UP_SEQ_FEATURE	DOMAIN:Methyl-accepting transducer	5	0.735294117647059	0.005957040081035	SMC03004, SMC01104, SMC00765, SMC01469, SMC00975	398	9	4346	6.06644332774986	0.91965202574261	0.314233864274581	0.311255344234064	
INTERPRO	IPR004089:Methyl-accepting chemotaxis protein (MCP) signalling domain	5	0.735294117647059	0.006736981657643	SMC03004, SMC01104, SMC00765, SMC01469, SMC00975	463	9	4890	5.8675305975522	0.99759383619892	0.60093876386174	0.599591367530211	
GOTERM_MF_DIRECT	GO:0030151~molybdenum ion binding	4	0.588235294117647	0.007028739574525	SM_B21287, SMC04049, SMA1236, SM_B20846	324	5	3453	8.52592592592593	0.786630334355098	0.256548994470169	0.253034624682906	
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	6	0.882352941176471	0.007415899880329	SMA1273, SMA1220, SM_B21487, SMA0765, SM_B21488, SMA1213	154	12	1339	4.3474025974026	0.330986377232507	0.050057324192223	0.044495399281976	
GOTERM_MF_DIRECT	GO:0000049~tRNA binding	7	1.02941176470588	0.0103224440184	SMC03242, SMC01297, SMC00365, SMC00908, SMC01310, SMC01302, SMC01313	324	21	3453	3.55246913580247	0.896931730085064	0.317610059616017	0.313259236881551	
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	10	1.47058823529412	0.011602193958576	SMA1276, SMA1243, SMC02255, SMC01022, SMA1216, SMA0766, SMA0007, SMA1236, SM_B21292, SMA1213	324	41	3453	2.59936766034327	0.922364880433091	0.317610059616017	0.313259236881551	
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	1.02941176470588	0.013814103152675	SMC00912, SMC02050, SMC01142, SM_B22023, SMC02136, SMA0745, SMC02857	239	18	2016	3.28033472803347	0.866947147186084	0.248653856748156	0.240020042277734	
UP_KW_PTM	KW-0488~Methylation	3	0.441176470588235	0.015591007976801	SMC01309, SMC01321, SMC02436	16	3	197	12.3125	0.075561848618495	0.093546047860805	0.093546047860805	
UP_KW_LIGAND	KW-0349~Heme	12	1.76470588235294	0.016341656206561	SMA1273, SMA1232, SMA1276, SMA1220, SMC02255, SMA1216, SMA0765, SM_B21488, SMA0766, SMA1233, SM_B21292, SMA1213	110	50	985	2.14909090909091	0.348444696210291	0.212441530685294	0.212441530685294	
GOTERM_MF_DIRECT	GO:0020037~heme binding	11	1.61764705882353	0.017608655660077	SMA1273, SMA1232, SMA1276, SMA1220, SMA1216, SMA0765, SM_B21488, SMA0766, SMC03004, SM_B21292, SMA1213	324	51	3453	2.29865649963689	0.979567971527715	0.428477287728549	0.422607735841857	
UP_SEQ_FEATURE	BINDING:ATP	10	1.47058823529412	0.021121680791199	SMC00913, SMC02099, SMC03981, SMC04458, SM_B21566, SMC00908, SMA0744, SMC02796, SMC01756, SMC02438	398	46	4346	2.37382564998908	0.999877674936573	0.990372143765118	0.98098473008014	
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	6	0.882352941176471	0.021410241816672	SMA1243, SMA1198, SMA1182, SMA1250, SM_B21487, SMC01982	324	18	3453	3.55246913580247	0.991259306517411	0.448097883131416	0.441959555965232	
GOTERM_MF_DIRECT	GO:0009486~cytochrome bo3 ubiquinol oxidase activity	3	0.441176470588235	0.024553308664735	SM_B21487, SM_B22024, SM_B21489	324	3	3453	10.6574074074074	0.995679089690648	0.448097883131416	0.441959555965232	
GOTERM_MF_DIRECT	GO:0015416~ATPase-coupled organic phosphonate transmembrane transporter activity	3	0.441176470588235	0.024553308664735	SM_B21175, SM_B21174, SM_B21177	324	3	3453	10.6574074074074	0.995679089690648	0.448097883131416	0.441959555965232	
GOTERM_BP_DIRECT	GO:0044781~bacterial-type flagellum organization	4	0.588235294117647	0.024763855866204	SMC03051, SMC03052, SMC03025, SMC03050	239	6	2016	5.6234309623431	0.973641580745653	0.356599524473336	0.344217596540234	
GOTERM_BP_DIRECT	GO:0019646~aerobic electron transport chain	4	0.588235294117647	0.024763855866204	SMC02255, SM_B21489, SMC01984, SMC01985	239	6	2016	5.6234309623431	0.973641580745653	0.356599524473336	0.344217596540234	
INTERPRO	IPR019776:Flagellar basal body rod protein, conserved site	3	0.441176470588235	0.025049320749822	SMC03030, SMC03047, SMC03028	463	3	4890	10.561555075594	0.999999999851228	1	0.998877665544332	
INTERPRO	IPR020013:Fagellar hook-basal body protein, FlgE/F/G	3	0.441176470588235	0.025049320749822	SMC03030, SMC03024, SMC03047	463	3	4890	10.561555075594	0.999999999851228	1	0.998877665544332	
INTERPRO	IPR004365:Nucleic acid binding, OB-fold, tRNA/helicase-type	3	0.441176470588235	0.025049320749822	SMC03173, SMC03788, SMC01756	463	3	4890	10.561555075594	0.999999999851228	1	0.998877665544332	
UP_SEQ_FEATURE	COMPBIAS:Polar residues	18	2.64705882352941	0.026248989811573	SM_B21440, SM_B20197, SM_B21487, SM_B20910, SMA0690, SMC03042, SMA0175, SMC03014, SMC03044, SMC03034, SMC03007, SMC05008, SMA0866, SMC04236, SMC01016, SMA2037, SMC01721, SMC01547	398	113	4346	1.73940498954952	0.999986664086878	1	0.992874109263658	
UP_SEQ_FEATURE	METAL:Iron-sulfur (4Fe-4S)	6	0.882352941176471	0.030400324564166	SMC00092, SMA1292, SMA1291, SMA1211, SMC02601, SMA1236	398	20	4346	3.27587939698492	0.999997802045335	1	0.992874109263658	
INTERPRO	IPR023616:Cytochrome c oxidase, subunit I domain	4	0.588235294117647	0.03270758374199	SMA1273, SMA1220, SMA0765, SM_B21488	463	8	4890	5.28077753779698	0.999999999999869	1	0.998877665544332	
INTERPRO	IPR023615:Cytochrome c oxidase, subunit I, copper-binding site	4	0.588235294117647	0.03270758374199	SMA1273, SMA1220, SMA0765, SM_B21488	463	8	4890	5.28077753779698	0.999999999999869	1	0.998877665544332	
INTERPRO	IPR000883:Cytochrome c oxidase, subunit I	4	0.588235294117647	0.03270758374199	SMA1273, SMA1220, SMA0765, SM_B21488	463	8	4890	5.28077753779698	0.999999999999869	1	0.998877665544332	
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	5	0.735294117647059	0.035345802401936	SMC00913, SMC02136, SM_B21566, SMA0744, SMC02857	324	14	3453	3.80621693121693	0.999622085812186	0.595440825078774	0.587284101447558	
UP_KW_BIOLOGICAL_PROCESS	KW-1005~Bacterial flagellum biogenesis	4	0.588235294117647	0.036203666151921	SMC03054, SMC03051, SMC03052, SMC03025	154	7	1339	4.96846011131725	0.863477391257841	0.217221996911527	0.193086219476913	
INTERPRO	IPR011032:GroES-like	8	1.17647058823529	0.036495063428138	SMA1296, SMC00912, SM_B22023, SMA0745, SMC00105, SM_B20080, SMA1156, SM_B20170	463	34	4890	2.48507178249269	0.999999999999996	1	0.998877665544332	
GOTERM_BP_DIRECT	GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility	3	0.441176470588235	0.038402142405962	SMC03021, SMC03043, SMC03022	239	3	2016	8.43514644351465	0.99657976753733	0.460825708871544	0.444824816202394	
GOTERM_BP_DIRECT	GO:0019333~denitrification pathway	3	0.441176470588235	0.038402142405962	SMA1232, SMA1182, SMA1250	239	3	2016	8.43514644351465	0.99657976753733	0.460825708871544	0.444824816202394	
SMART	SM00883:SM00883	3	0.441176470588235	0.041217238498864	SMC00912, SM_B22023, SMA0745	96	4	1075	8.3984375	0.949634238180633	1	1	
UP_SEQ_FEATURE	SIGNAL:Tat-type signal	3	0.441176470588235	0.044102314137526	SMA1182, SMA1250, SMA1236	398	4	4346	8.18969849246231	0.999999994584792	1	0.992874109263658	
UP_SEQ_FEATURE	DOMAIN:HAMP	6	0.882352941176471	0.044428370487605	SMC00992, SMC03004, SMC01104, SMC00765, SMC01469, SMC00975	398	22	4346	2.9780721790772	0.999999995310891	1	0.992874109263658	
