CHART																	
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.52525252525252	0.04757147426286	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	135	36	3484	3.5843621399177	0.996137282496668	1	1					
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	5	2.52525252525252	0.048952457406158	SINMEB_3164, SINMEB_1876, SINMEB_0047, SINMEB_0884, SINMEB_0406	47	41	1337	3.46912298910223	0.851514292032604	1	1					
INTERPRO	IPR003959:ATPase, AAA-type, core	3	1.51515151515152	0.053249401369472	SINMEB_3164, SINMEB_0884, SINMEB_1118	169	11	4859	7.84131253362023	0.999999996893004	1	1					
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.52525252525252	0.056623236053031	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	38	2380	3.36728919071873	0.792747524583777	0.334326956540951	0.334326956540951					
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	6	3.03030303030303	0.062644438754033	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	56	2380	2.74193548387097	0.825651694926889	0.334326956540951	0.334326956540951					
INTERPRO	IPR016454:Cysteine desulfurase, NifS	2	1.01010101010101	0.067961470232553	SINMEB_1481, SINMEB_1485	169	2	4859	28.7514792899408	0.999999999988589	1	1					
GOTERM_BP_DIRECT	GO:0043335~protein unfolding	2	1.01010101010101	0.067990344242823	SINMEB_3164, SINMEB_1118	71	2	2024	28.5070422535211	0.992237378522778	1	1					
INTERPRO	IPR012349:FMN-binding split barrel	3	1.51515151515152	0.072205524936101	SINMEB_1058, SINMEB_1610, SINMEB_6170	169	13	4859	6.63495675921712	0.999999999997773	1	1					
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	7	3.53535353535353	0.074294879231323	SINMEB_3164, SINMEB_0882, SINMEB_1981, SINMEB_0884, SINMEB_1279, SINMEB_0733, SINMEB_1118	93	77	2380	2.32649071358749	0.875616725478138	0.334326956540951	0.334326956540951					
GOTERM_MF_DIRECT	GO:0031071~cysteine desulfurase activity	2	1.01010101010101	0.075454404911891	SINMEB_1481, SINMEB_1485	135	2	3484	25.8074074074074	0.99986943401446	1	1					
UP_SEQ_FEATURE	DOMAIN:HlyD_D23	3	1.51515151515152	0.081643214802402	SINMEB_2728, SINMEB_4306, SINMEB_4328	150	14	4331	6.18714285714286	0.999999959979011	1	1					
UP_SEQ_FEATURE	REGION:Disordered	29	14.6464646464646	0.083262084319387	SINMEB_0041, SINMEB_0380, SINMEB_1052, SINMEB_1370, SINMEB_2146, SINMEB_3014, SINMEB_1077, SINMEB_2728, SINMEB_3759, SINMEB_0545, SINMEB_0884, SINMEB_0329, SINMEB_4328, SINMEB_1118, SINMEB_0987, SINMEB_1877, SINMEB_1635, SINMEB_6358, SINMEB_2251, SINMEB_2250, SINMEB_1069, SINMEB_6196, SINMEB_0759, SINMEB_2217, SINMEB_2117, SINMEB_1006, SINMEB_0934, SINMEB_0733, SINMEB_1624	150	627	4331	1.33544922913344	0.999999971878481	1	1					
PIR_SUPERFAMILY	PIRSF005572:cysteine desulfurase, NifS type	2	1.01010101010101	0.090199418068336	SINMEB_1481, SINMEB_1485	32	2	672	21	0.935517762609072	1	1					
UP_SEQ_FEATURE	NP_BIND:FAD	3	1.51515151515152	0.092142943945694	SINMEB_0717, SINMEB_1604, SINMEB_1080	150	15	4331	5.77466666666667	0.999999995986764	1	1					
UP_KW_PTM	KW-1015~Disulfide bond	3	1.51515151515152	0.094450198392523	SINMEB_2477, SINMEB_1604, SINMEB_1080	8	15	193	4.825	0.179979556808659	0.283350595177569	0.283350595177569					
UP_SEQ_FEATURE	DOMAIN:HlyD	2	1.01010101010101	0.099721638379465	SINMEB_2728, SINMEB_4306	150	3	4331	19.2488888888889	0.99999999924948	1	1					
																	
																	
																	
																	
CLUSTERING																	
Annotation Cluster 1	Enrichment Score: 2.446758936279793																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	10	5.05050505050505	0.000219647293559	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909453	0.002965238463051	0.002965238463051					
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	10	5.05050505050505	0.000219647293559	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_1977, SINMEB_0987	93	56	2380	4.56989247311828	0.005913573909453	0.002965238463051	0.002965238463051					
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	9	4.54545454545455	0.000797245791732	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	135	53	3484	4.38238993710692	0.086911316355672	0.090886020257406	0.090886020257406					
GOTERM_BP_DIRECT	GO:0006412~translation	9	4.54545454545455	0.000926782422946	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_1002, SINMEB_3014, SINMEB_1001, SINMEB_0974, SINMEB_1006, SINMEB_0987	71	61	2024	4.2059570537982	0.061974024979795	0.063021204760342	0.063021204760342					
GOTERM_CC_DIRECT	GO:0005840~ribosome	7	3.53535353535353	0.004432849163585	SINMEB_0759, SINMEB_0991, SINMEB_0992, SINMEB_3014, SINMEB_0974, SINMEB_1006, SINMEB_1977	71	45	1968	4.31173708920188	0.064468582863651	0.066492737453781	0.066492737453781					
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	5	2.52525252525252	0.04757147426286	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	135	36	3484	3.5843621399177	0.996137282496668	1	1					
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	2.52525252525252	0.056623236053031	SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	38	2380	3.36728919071873	0.792747524583777	0.334326956540951	0.334326956540951					
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	6	3.03030303030303	0.062644438754033	SINMEB_1087, SINMEB_0759, SINMEB_0991, SINMEB_1001, SINMEB_1006, SINMEB_0987	93	56	2380	2.74193548387097	0.825651694926889	0.334326956540951	0.334326956540951					
																	
Annotation Cluster 2	Enrichment Score: 0.3852426861637204																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
UP_KW_LIGAND	KW-0547~Nucleotide-binding	17	8.58585858585859	0.10196803441739	SINMEB_3164, SINMEB_1399, SINMEB_1275, SINMEB_3584, SINMEB_1165, SINMEB_3292, SINMEB_1080, SINMEB_2092, SINMEB_0545, SINMEB_1369, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_1604, SINMEB_1559, SINMEB_1757, SINMEB_0437	43	278	986	1.40220846578551	0.883631371885309	1	1					
UP_KW_LIGAND	KW-0067~ATP-binding	14	7.07070707070707	0.172808807561109	SINMEB_2472, SINMEB_3164, SINMEB_1399, SINMEB_1275, SINMEB_3584, SINMEB_3292, SINMEB_0545, SINMEB_1005, SINMEB_0884, SINMEB_1528, SINMEB_1559, SINMEB_1757, SINMEB_1118, SINMEB_0437	43	234	986	1.37189425561519	0.977503340657521	1	1					
GOTERM_MF_DIRECT	GO:0005524~ATP binding	21	10.6060606060606	0.282600757785904	SINMEB_2472, SINMEB_3164, SINMEB_1399, SINMEB_1275, SINMEB_3584, SINMEB_3292, SINMEB_1160, SINMEB_2327, SINMEB_3605, SINMEB_0545, SINMEB_1005, SINMEB_0884, SINMEB_3622, SINMEB_1638, SINMEB_1528, SINMEB_0406, SINMEB_1416, SINMEB_1559, SINMEB_1757, SINMEB_1118, SINMEB_0437	135	452	3484	1.19901671583088	1	1	1					
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	12	6.06060606060606	0.325993367273624	SINMEB_0727, SINMEB_1399, SINMEB_2327, SINMEB_3605, SINMEB_2039, SINMEB_1511, SINMEB_1775, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416, SINMEB_0448	135	242	3484	1.27970615243343	1	1	1					
INTERPRO	IPR003593:AAA+ ATPase domain	10	5.05050505050505	0.360244459695638	SINMEB_3164, SINMEB_2327, SINMEB_3605, SINMEB_3292, SINMEB_0884, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416, SINMEB_1118	169	222	4859	1.29511167972706	1	1	1					
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	14	7.07070707070707	0.431875974394413	SINMEB_3164, SINMEB_1399, SINMEB_3292, SINMEB_1160, SINMEB_2327, SINMEB_3605, SINMEB_0545, SINMEB_1005, SINMEB_0884, SINMEB_3622, SINMEB_1638, SINMEB_1416, SINMEB_1757, SINMEB_1118	169	349	4859	1.15335447008359	1	1	1					
INTERPRO	IPR008995:Molybdate/tungstate binding, C-terminal	3	1.51515151515152	0.464719397390522	SINMEB_2327, SINMEB_1160, SINMEB_3622	169	45	4859	1.91676528599606	1	1	1					
UP_SEQ_FEATURE	NP_BIND:ATP	11	5.55555555555556	0.494762395877915	SINMEB_3164, SINMEB_2327, SINMEB_3605, SINMEB_0545, SINMEB_3292, SINMEB_1005, SINMEB_0884, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416	150	279	4331	1.13837514934289	1	1	1					
SMART	SM00382:AAA	10	5.05050505050505	0.554418213370556	SINMEB_3164, SINMEB_2327, SINMEB_3605, SINMEB_3292, SINMEB_0884, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416, SINMEB_1118	44	222	1067	1.09234234234234	0.999999999999991	1	1					
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	6	3.03030303030303	0.693450075708345	SINMEB_2327, SINMEB_3605, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416	135	150	3484	1.0322962962963	1	1	1					
INTERPRO	IPR017871:ABC transporter, conserved site	6	3.03030303030303	0.702543568957204	SINMEB_2327, SINMEB_3605, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416	169	169	4859	1.02076257834109	1	1	1					
UP_SEQ_FEATURE	DOMAIN:ABC transporter	6	3.03030303030303	0.787633424707996	SINMEB_2327, SINMEB_3605, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416	150	189	4331	0.916613756613757	1	1	1					
INTERPRO	IPR003439:ABC transporter-like	6	3.03030303030303	0.794399832764587	SINMEB_2327, SINMEB_3605, SINMEB_1160, SINMEB_1638, SINMEB_3622, SINMEB_1416	169	190	4859	0.907941451261289	1	1	1					
																	
Annotation Cluster 3	Enrichment Score: 0.3223450662515621																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
INTERPRO	IPR018060:DNA binding HTH domain, AraC-type	3	1.51515151515152	0.329798746930676	SINMEB_2046, SINMEB_0752, SINMEB_3317	169	34	4859	2.53689523146537	1	1	1					
UP_SEQ_FEATURE	DOMAIN:HTH araC/xylS-type	3	1.51515151515152	0.340380454160321	SINMEB_2046, SINMEB_0752, SINMEB_3317	150	35	4331	2.47485714285714	1	1	1					
SMART	SM00342:HTH_ARAC	3	1.51515151515152	0.402368225326404	SINMEB_2046, SINMEB_0752, SINMEB_3317	44	34	1067	2.13970588235294	0.999999998858838	1	1					
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	4	2.02020202020202	0.519135640176773	SINMEB_2046, SINMEB_0884, SINMEB_0752, SINMEB_3317	135	71	3484	1.45393844548774	1	1	1					
INTERPRO	IPR009057:Homeodomain-like	4	2.02020202020202	0.644578570466174	SINMEB_3791, SINMEB_2046, SINMEB_0752, SINMEB_3317	169	95	4859	1.21058860168172	1	1	1					
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	8	4.04040404040404	0.770079570109144	SINMEB_1461, SINMEB_5486, SINMEB_2046, SINMEB_1907, SINMEB_1512, SINMEB_0752, SINMEB_0538, SINMEB_3317	135	224	3484	0.921693121693122	1	1	1					
																	
Annotation Cluster 4	Enrichment Score: 0.2539819060501974																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
INTERPRO	IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2	3	1.51515151515152	0.509807476439025	SINMEB_1481, SINMEB_1485, SINMEB_1907	169	49	4859	1.76029465040454	1	1	1					
INTERPRO	IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1	3	1.51515151515152	0.582537705429559	SINMEB_1481, SINMEB_1485, SINMEB_1907	169	56	4859	1.54025781910397	1	1	1					
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	3	1.51515151515152	0.582537705429559	SINMEB_1481, SINMEB_1485, SINMEB_1907	169	56	4859	1.54025781910397	1	1	1					
																	
Annotation Cluster 5	Enrichment Score: 0.1702008843063092																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
GOTERM_BP_DIRECT	GO:0000160~phosphorelay signal transduction system	3	1.51515151515152	0.574833389560371	SINMEB_6358, SINMEB_6625, SINMEB_0635	71	55	2024	1.55492957746479	1	1	1					
INTERPRO	IPR001789:Signal transduction response regulator, receiver domain	3	1.51515151515152	0.65561978143994	SINMEB_6358, SINMEB_6625, SINMEB_0635	169	64	4859	1.34772559171598	1	1	1					
UP_SEQ_FEATURE	DOMAIN:Response regulatory	3	1.51515151515152	0.66153805306529	SINMEB_6358, SINMEB_6625, SINMEB_0635	150	65	4331	1.33261538461538	1	1	1					
INTERPRO	IPR011006:CheY-like superfamily	3	1.51515151515152	0.680284187873999	SINMEB_6358, SINMEB_6625, SINMEB_0635	169	67	4859	1.28737966969884	1	1	1					
SMART	SM00448:REC	3	1.51515151515152	0.71041972731497	SINMEB_6358, SINMEB_6625, SINMEB_0635	44	60	1067	1.2125	1	1	1					
UP_KW_PTM	KW-0597~Phosphoprotein	4	2.02020202020202	0.790388183808331	SINMEB_6358, SINMEB_0329, SINMEB_6625, SINMEB_0635	8	98	193	0.98469387755102	0.95606288651283	1	1					
																	
Annotation Cluster 6	Enrichment Score: 0.017378751541824278																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	10	5.05050505050505	0.913397372033324	SINMEB_1031, SINMEB_2251, SINMEB_1052, SINMEB_1069, SINMEB_2256, SINMEB_1144, SINMEB_1583, SINMEB_1160, SINMEB_0448, SINMEB_1415	58	391	1767	0.779169238909957	0.999999963464295	1	1					
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	13	6.56565656565657	0.973726251600812	SINMEB_1031, SINMEB_2251, SINMEB_1146, SINMEB_1069, SINMEB_1144, SINMEB_1583, SINMEB_2091, SINMEB_1160, SINMEB_2327, SINMEB_3605, SINMEB_1764, SINMEB_3622, SINMEB_0448	47	513	1337	0.720874289743271	1	1	1					
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	13	6.56565656565657	0.997165189036949	SINMEB_1031, SINMEB_2251, SINMEB_1052, SINMEB_1069, SINMEB_2256, SINMEB_1144, SINMEB_2091, SINMEB_1160, SINMEB_1764, SINMEB_1797, SINMEB_3622, SINMEB_1415, SINMEB_0448	71	604	1968	0.596586139352672	1	1	1					
																	
Annotation Cluster 7	Enrichment Score: 0.01067344312542204																
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR					
UP_KW_DOMAIN	KW-0812~Transmembrane	24	12.1212121212121	0.940516242769898	SINMEB_2251, SINMEB_0380, SINMEB_2477, SINMEB_2256, SINMEB_5344, SINMEB_0715, SINMEB_2728, SINMEB_1826, SINMEB_0818, SINMEB_3809, SINMEB_2217, SINMEB_3605, SINMEB_2204, SINMEB_1797, SINMEB_2038, SINMEB_1279, SINMEB_1961, SINMEB_0669, SINMEB_0648, SINMEB_0934, SINMEB_4328, SINMEB_1415, SINMEB_0910, SINMEB_1624	53	954	1770	0.840156639373442	0.999999999990676	1	1					
UP_KW_DOMAIN	KW-1133~Transmembrane helix	13	6.56565656565657	0.950194215593799	SINMEB_1131, SINMEB_2251, SINMEB_0380, SINMEB_2728, SINMEB_3809, SINMEB_2217, SINMEB_2204, SINMEB_1797, SINMEB_1961, SINMEB_0648, SINMEB_0934, SINMEB_0910, SINMEB_1624	53	574	1770	0.756360528564855	0.999999999998114	1	1					
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	35	17.6767676767677	0.995966408594637	SINMEB_1131, SINMEB_1031, SINMEB_0380, SINMEB_1052, SINMEB_2728, SINMEB_2204, SINMEB_1797, SINMEB_1279, SINMEB_0669, SINMEB_0648, SINMEB_4328, SINMEB_0448, SINMEB_1415, SINMEB_2251, SINMEB_2477, SINMEB_1069, SINMEB_2256, SINMEB_1144, SINMEB_1583, SINMEB_5344, SINMEB_2091, SINMEB_1160, SINMEB_0715, SINMEB_1826, SINMEB_0818, SINMEB_3809, SINMEB_2217, SINMEB_3605, SINMEB_1764, SINMEB_2038, SINMEB_1961, SINMEB_3622, SINMEB_0934, SINMEB_0910, SINMEB_1624	58	1316	1767	0.81025311812179	1	1	1					
UP_SEQ_FEATURE	TRANSMEM:Helical	26	13.1313131313131	0.996337343608126	SINMEB_1131, SINMEB_1031, SINMEB_0380, SINMEB_2728, SINMEB_2204, SINMEB_1797, SINMEB_0648, SINMEB_0448, SINMEB_1415, SINMEB_1069, SINMEB_2256, SINMEB_1144, SINMEB_1583, SINMEB_5344, SINMEB_2091, SINMEB_0715, SINMEB_0818, SINMEB_3809, SINMEB_2217, SINMEB_3605, SINMEB_1764, SINMEB_2038, SINMEB_1961, SINMEB_0934, SINMEB_0910, SINMEB_1624	150	1104	4331	0.679987922705314	1	1	1					
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	31	15.6565656565657	0.997247606110302	SINMEB_1131, SINMEB_1031, SINMEB_0380, SINMEB_2728, SINMEB_2204, SINMEB_1797, SINMEB_1279, SINMEB_0669, SINMEB_0648, SINMEB_4328, SINMEB_0448, SINMEB_1415, SINMEB_2251, SINMEB_2477, SINMEB_1069, SINMEB_2256, SINMEB_1144, SINMEB_5344, SINMEB_2091, SINMEB_0715, SINMEB_1826, SINMEB_0818, SINMEB_3809, SINMEB_2217, SINMEB_3605, SINMEB_1764, SINMEB_2038, SINMEB_1961, SINMEB_0934, SINMEB_0910, SINMEB_1624	71	1148	1968	0.748490945674044	1	1	1					
																	
																	
																	
																	
TABLE																	
ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE		
SinmeB_1559	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase(folK)	Sinorhizobium meliloti 2011	GO:0046654~tetrahydrofolate biosynthetic process,GO:0046656~folic acid biosynthetic process,		GO:0003848~2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,GO:0005524~ATP binding,GO:0016301~kinase activity,	IPR000550:7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK,			KW-0289~Folate biosynthesis,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:HPPK,		
SinmeB_0437	2-dehydro-3-deoxygalactonokinase(SM2011_RS18520)	Sinorhizobium meliloti 2011	GO:0034194~D-galactonate catabolic process,		GO:0005524~ATP binding,GO:0008671~2-dehydro-3-deoxygalactonokinase activity,	IPR007729:2-keto-3-deoxy-galactonokinase,						KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,				
SinmeB_1006	30S ribosomal protein S13(rpsM)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001892:Ribosomal protein S13,IPR010979:Ribosomal protein S13-like, H2TH,IPR018269:Ribosomal protein S13, conserved site,IPR019980:Ribosomal protein S13, bacterial-type,IPR027437:30s ribosomal protein S13, C-terminal,	PIRSF002134:ribosomal protein, S13p/S13a/S18e/organellar S13 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		REGION:Disordered,		
SinmeB_3014	30S ribosomal protein S16(rpsP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000307:Ribosomal protein S16,IPR023803:Ribosomal protein S16 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,		
SinmeB_1001	30S ribosomal protein S5(rpsE)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000851:Ribosomal protein S5,IPR005324:Ribosomal protein S5, C-terminal,IPR005712:Ribosomal protein S5, bacterial-type,IPR013810:Ribosomal protein S5, N-terminal,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR018192:Ribosomal protein S5, N-terminal, conserved site,IPR020568:Ribosomal protein S5 domain 2-type fold,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:S5 DRBM,		
SinmeB_2772	4-hydroxyphenylpyruvate dioxygenase(hppD)	Sinorhizobium meliloti 2011	GO:0009072~aromatic amino acid family metabolic process,		GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,				KW-0677~Repeat,	KW-0408~Iron,KW-0670~Pyruvate,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,		DOMAIN:VOC,METAL:Iron,		
SinmeB_1165	5'/3'-nucleotidase SurE(surE)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0000166~nucleotide binding,GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR002828:Survival protein SurE-like phosphatase/nucleotidase,				KW-0963~Cytoplasm,		KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,		DOMAIN:SurE,METAL:Divalent metal cation,		
SinmeB_1977	50S ribosomal protein L11 methyltransferase(SM2011_RS25355)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,GO:0005840~ribosome,	GO:0008276~protein methyltransferase activity,	IPR004498:Ribosomal protein L11 methyltransferase,	PIRSF000401:ribosomal protein L11 methyltransferase,			KW-0963~Cytoplasm,		KW-0949~S-adenosyl-L-methionine,	KW-0489~Methyltransferase,KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0808~Transferase,		BINDING:S-adenosyl-L-methionine,BINDING:S-adenosyl-L-methionine	 via carbonyl oxygen,	
