CHART																		
INTERPRO	IPR001029:Flagellin, D0/D1 domain	3	2.41935483870968	0.003417060430493	SMC03037, SMC03038, SMC03049	93	5	4859	31.3483870967742	0.560227996243861	0.820094503318273	0.820094503318273						
GOTERM_MF_DIRECT	GO:0003774~motor activity	3	2.41935483870968	0.004157366833841	SMC03020, SMC03014, SMC03029	74	5	3484	28.2486486486486	0.246698870137816	0.070675236175296	0.070675236175296						
GOTERM_BP_DIRECT	GO:0019289~rhizobactin 1021 biosynthetic process	3	2.41935483870968	0.009256907624551	SMA2400, SMA2410, SMA2402	65	5	2024	18.6830769230769	0.335819174029333	0.099511756963927	0.099511756963927						
UP_KW_BIOLOGICAL_PROCESS	KW-0536~Nodulation	5	4.03225806451613	0.009422240994706	SMA0869, SMA0875, SMA0863, SMA0852, SMA0851	35	34	1337	5.61764705882353	0.210750494508535	0.117778012433824	0.117778012433824						
GOTERM_BP_DIRECT	GO:0007165~signal transduction	4	3.2258064516129	0.014938496717167	SMC03090, SMC03004, SMC01104, SMC03008	65	17	2024	7.32669683257919	0.484311714879146	0.128471071767635	0.128471071767635						
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	4	3.2258064516129	0.019049210654423	SMC00913, SMC02136, SMA0745, SMC01721	47	30	2380	6.75177304964539	0.357480840319417	0.087626369010344	0.07619684261769						
GOTERM_CC_DIRECT	GO:0009425~bacterial-type flagellum basal body	3	2.41935483870968	0.024940745627382	SMC03020, SMC03021, SMC03029	64	8	1968	11.53125	0.381144630956083	0.118468541730065	0.118468541730065						
UP_SEQ_FEATURE	DOMAIN:FliMN_C	2	1.61290322580645	0.03206754249783	SMC03020, SMC03021	71	2	4331	61	0.943197861901985	0.823242107246578	0.823242107246578						
UP_KW_MOLECULAR_FUNCTION	KW-0675~Receptor	3	2.41935483870968	0.036926762791885	SMC03012, SMC03004, SMC01104	47	16	2380	9.49468085106383	0.57911424018031	0.141552590702225	0.123089209306282						
UP_SEQ_FEATURE	BINDING:ATP	4	3.2258064516129	0.037420095783935	SMC00913, SMC02099, SMC02796, SMC02438	71	46	4331	5.30434782608696	0.965131153647299	0.823242107246578	0.823242107246578						
INTERPRO	IPR001543:Surface presentation of antigen (SpoA)	2	1.61290322580645	0.037513203757518	SMC03020, SMC03021	93	2	4859	52.247311827957	0.999896545997563	1	1						
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	3	2.41935483870968	0.044828897741865	SMC03037, SMC03038, SMC03049	48	13	1767	8.49519230769231	0.367862217817012	0.08965779548373	0.062760456838611						
UP_KW_BIOLOGICAL_PROCESS	KW-0653~Protein transport	3	2.41935483870968	0.047189581898307	SMC03054, SMC03025, SMC01721	35	14	1337	8.18571428571429	0.701350062813106	0.393246515819223	0.393246515819223						
INTERPRO	IPR004090:Chemotaxis methyl-accepting receptor	2	1.61290322580645	0.055744372226633	SMC03004, SMC01104	93	3	4859	34.831541218638	0.999998949249373	1	1						
INTERPRO	IPR004087:K Homology domain	2	1.61290322580645	0.055744372226633	SMC00324, SMC01303	93	3	4859	34.831541218638	0.999998949249373	1	1						
SMART	SM00322:KH	2	1.61290322580645	0.057942868133164	SMC00324, SMC01303	22	3	1067	32.3333333333333	0.731032802045101	1	1						
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	2	1.61290322580645	0.0615682085246	SMC03004, SMC01104	74	3	3484	31.3873873873874	0.986714300670697	0.837327635934552	0.837327635934552						
INTERPRO	IPR001492:Flagellin	2	1.61290322580645	0.073633894004608	SMC03037, SMC03038	93	4	4859	26.1236559139785	0.999999989338027	1	1						
INTERPRO	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	2	1.61290322580645	0.073633894004608	SMC03025, SMC02796	93	4	4859	26.1236559139785	0.999999989338027	1	1						
UP_SEQ_FEATURE	DOMAIN:Flg_bbr_C	2	1.61290322580645	0.07827733369271	SMC03024, SMC03028	71	5	4331	24.4	0.999232950242908	1	1						
UP_SEQ_FEATURE	DOMAIN:Flg_bb_rod	2	1.61290322580645	0.07827733369271	SMC03024, SMC03028	71	5	4331	24.4	0.999232950242908	1	1						
GOTERM_CC_DIRECT	GO:0005576~extracellular region	3	2.41935483870968	0.081047958368125	SMC03037, SMC03038, SMC03049	64	15	1968	6.15	0.799292273081051	0.294629237794098	0.294629237794098						
INTERPRO	IPR001048:Aspartate/glutamate/uridylate kinase	2	1.61290322580645	0.091188102398511	SMC02099, SMC02438	93	5	4859	20.8989247311828	0.999999999891916	1	1						
INTERPRO	IPR001444:Flagellar basal body rod protein, N-terminal	2	1.61290322580645	0.091188102398511	SMC03024, SMC03028	93	5	4859	20.8989247311828	0.999999999891916	1	1						
INTERPRO	IPR010930:Flagellar basal-body/hook protein, C-terminal domain	2	1.61290322580645	0.091188102398511	SMC03024, SMC03028	93	5	4859	20.8989247311828	0.999999999891916	1	1						
GOTERM_CC_DIRECT	GO:0030694~bacterial-type flagellum basal body, rod	2	1.61290322580645	0.093040811934978	SMC03024, SMC03028	64	3	1968	20.5	0.843625061503292	0.294629237794098	0.294629237794098						
UP_SEQ_FEATURE	DOMAIN:CheW-like	2	1.61290322580645	0.093191939943876	SMC03090, SMC03008	71	6	4331	20.3333333333333	0.999817462245001	1	1						
UP_KW_LIGAND	KW-0663~Pyridoxal phosphate	3	2.41935483870968	0.09731358592837	SMC00640, SMA2400, SMA2402	17	33	986	5.27272727272727	0.735771426709199	1	1						
UP_KW_BIOLOGICAL_PROCESS	KW-1006~Bacterial flagellum protein export	2	1.61290322580645	0.098011317984436	SMC03054, SMC03025	35	4	1337	19.1	0.924137490782734	0.612570737402726	0.612570737402726						
																		
																		
																		
CLUSTERING																		
Annotation Cluster 1	Enrichment Score: 11.57731266867345																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_CELLULAR_COMPONENT	KW-0282~Flagellum	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	15	12.0967741935484	4.39788896799524E-14	SMC03050, SMC03020, SMC03042, SMC03054, SMC03021, SMC03032, SMC03024, SMC03025, SMC03014, SMC03033, SMC03028, SMC03029, SMC03037, SMC03049, SMC03038	48	37	1767	14.9239864864865	4.39648317751562E-13	1.46596298933175E-13	1.02617409253222E-13						
UP_KW_CELLULAR_COMPONENT	KW-0975~Bacterial flagellum	10	8.06451612903226	1.22408094890081E-10	SMC03020, SMC03021, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	48	18	1767	20.4513888888889	1.22408083669256E-09	3.06020237225202E-10	2.14214166057641E-10						
GOTERM_BP_DIRECT	GO:0071973~bacterial-type flagellum-dependent cell motility	9	7.25806451612903	1.24707833881347E-08	SMC03020, SMC03032, SMC03024, SMC03014, SMC03028, SMC03029, SMC03037, SMC03038, SMC03049	65	17	2024	16.4850678733032	5.48714322756716E-07	2.68121842844896E-07	2.68121842844896E-07						
																		
Annotation Cluster 2	Enrichment Score: 10.265181849104808																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	15	12.0967741935484	3.93906242292173E-13	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303, SMC00324, SMC01778	47	56	2380	13.563829787234	9.05986397015113E-12	3.01994785757332E-12	2.62604161528115E-12						
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	15	12.0967741935484	1.09533741275601E-12	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	53	3484	13.3248342682305	7.44835304544722E-11	7.44829440674089E-11	7.44829440674089E-11						
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	13	10.4838709677419	1.10882711597518E-12	SMC01308, SMC01319, SMC01307, SMC01292, SMC01295, SMC02692, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	47	38	2380	17.3236282194849	2.55019338979423E-11	6.37575591685731E-12	5.54413557987592E-12						
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	11	8.87096774193548	1.42914292742926E-09	SMC01308, SMC01292, SMC01307, SMC01295, SMC03242, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	74	36	3484	14.3858858858859	9.71817135653197E-08	4.85908595325948E-08	4.85908595325948E-08						
GOTERM_BP_DIRECT	GO:0006412~translation	15	12.0967741935484	1.66689845205582E-09	SMC01308, SMC01319, SMC01307, SMC03859, SMC01292, SMC01291, SMC01295, SMC02692, SMC03881, SMC01300, SMC01299, SMC01313, SMC01304, SMC00567, SMC01303	65	61	2024	7.65699873896595	7.33435268074345E-08	7.16766334384002E-08	7.16766334384002E-08						
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	6.45161290322581	0.000427533401519	SMC01308, SMC01307, SMC03859, SMC01295, SMC02692, SMC01300, SMC00567, SMC01303	64	45	1968	5.46666666666667	0.008091954021177	0.00369966969584	0.00369966969584						
																		
Annotation Cluster 3	Enrichment Score: 2.612592981056114																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
GOTERM_MF_DIRECT	GO:0005198~structural molecule activity	5	4.03225806451613	1.16623891354561E-05	SMC03032, SMC03029, SMC03037, SMC03038, SMC03049	74	8	3484	29.4256756756757	0.0007927327069	0.00026434748707	0.00026434748707						
GOTERM_CC_DIRECT	GO:0009288~bacterial-type flagellum	4	3.2258064516129	0.000584158373027	SMC03025, SMC03037, SMC03038, SMC03049	64	6	1968	20.5	0.011040849584438	0.00369966969584	0.00369966969584						
UP_SEQ_FEATURE	DOMAIN:Flagellin_D0/D1	3	2.41935483870968	0.002495578182775	SMC03037, SMC03038, SMC03049	71	5	4331	36.6	0.197389199945943	0.109805440042102	0.109805440042102						
INTERPRO	IPR001029:Flagellin, D0/D1 domain	3	2.41935483870968	0.003417060430493	SMC03037, SMC03038, SMC03049	93	5	4859	31.3483870967742	0.560227996243861	0.820094503318273	0.820094503318273						
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	3	2.41935483870968	0.044828897741865	SMC03037, SMC03038, SMC03049	48	13	1767	8.49519230769231	0.367862217817012	0.08965779548373	0.062760456838611						
GOTERM_CC_DIRECT	GO:0005576~extracellular region	3	2.41935483870968	0.081047958368125	SMC03037, SMC03038, SMC03049	64	15	1968	6.15	0.799292273081051	0.294629237794098	0.294629237794098						
																		
Annotation Cluster 4	Enrichment Score: 0.6989914933882646																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_LIGAND	KW-0663~Pyridoxal phosphate	3	2.41935483870968	0.09731358592837	SMC00640, SMA2400, SMA2402	17	33	986	5.27272727272727	0.735771426709199	1	1						
INTERPRO	IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1	3	2.41935483870968	0.286698896785192	SMC00640, SMA2400, SMA2402	93	56	4859	2.79896313364055	1	1	1						
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	3	2.41935483870968	0.286698896785192	SMC00640, SMA2400, SMA2402	93	56	4859	2.79896313364055	1	1	1						
																		
Annotation Cluster 5	Enrichment Score: 0.3658090694249555																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
INTERPRO	IPR006059:Bacterial extracellular solute-binding, family 1	3	2.41935483870968	0.188418238074358	SMC02471, SM_B21221, SMC00991	93	42	4859	3.73195084485407	1	1	1						
UP_KW_CELLULAR_COMPONENT	KW-0574~Periplasm	5	4.03225806451613	0.347563077132844	SMC03032, SMC02471, SM_B21221, SMC00991, SMA1379	48	112	1767	1.64341517857143	0.986023922262265	0.434453846416055	0.347563077132844						
GOTERM_CC_DIRECT	GO:0042597~periplasmic space	4	3.2258064516129	0.724622135753139	SMC02471, SM_B21221, SMC00991, SMA1379	64	115	1968	1.0695652173913	0.999999999977162	1	1						
UP_KW_DOMAIN	KW-0732~Signal	11	8.87096774193548	0.725263052775936	SMC03032, SMC02471, SM_B21221, SM_B21176, SMC02178, SMC03033, SMC01907, SMA0875, SMC00991, SM_B21438, SMA1379	37	550	1770	0.956756756756757	0.998434744130207	1	1						
																		
Annotation Cluster 6	Enrichment Score: 0.3400699904897624																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_KW_CELLULAR_COMPONENT	KW-0997~Cell inner membrane	8	6.45161290322581	0.129316992746083	SMC03020, SMC03021, SMC01095, SM_B21177, SMC03014, SMA0863, SMC03159, SMC01721	48	161	1767	1.82919254658385	0.749619394110504	0.215528321243471	0.15086982487043						
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	13	10.4838709677419	0.338033970482277	SMC03829, SM_B21177, SMC03020, SMC03042, SMC03021, SMC01095, SMC04300, SMC03014, SMA0863, SMC02545, SMC00399, SMC03159, SMC01721	48	391	1767	1.22394501278772	0.983843137434243	0.434453846416055	0.338033970482277						
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	11	8.87096774193548	0.998063466756383	SMC03042, SMC03020, SMC03054, SMC03829, SMC03021, SMC01095, SM_B21177, SMC03014, SMC03159, SMC00399, SMC01721	64	604	1968	0.560016556291391	1	1	1						
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	25	20.1612903225806	0.999875520711022	SMC01869, SMC03829, SMC01907, SM_B21505, SMC03020, SMC03042, SMC03021, SMC03167, SMA0863, SMC01104, SMC00399, SMC01721, SMC02513, SM_B21177, SMC01180, SMC03054, SMC01095, SMC03057, SMC04300, SMC03014, SMC02882, SMC02243, SMC02545, SMC03159, SM_B21292	48	1316	1767	0.699325607902736	1	0.999875520711022	0.999875520711022						
																		
Annotation Cluster 7	Enrichment Score: 0.3079735760832166																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_SEQ_FEATURE	BINDING:ATP	4	3.2258064516129	0.037420095783935	SMC00913, SMC02099, SMC02796, SMC02438	71	46	4331	5.30434782608696	0.965131153647299	0.823242107246578	0.823242107246578						
UP_SEQ_FEATURE	NP_BIND:ATP	8	6.45161290322581	0.162000573239533	SMC00913, SM_B21177, SMC02099, SMC04300, SMC03025, SMC02796, SMC03159, SMC02438	71	279	4331	1.74910394265233	0.999999824026409	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-1278~Translocase	3	2.41935483870968	0.352584291163188	SM_B21177, SMC03025, SMC03159	47	64	2380	2.37367021276596	0.999954583427458	0.901048744083702	0.783520647029306						
UP_KW_LIGAND	KW-0067~ATP-binding	5	4.03225806451613	0.549324903200983	SMC00913, SM_B21177, SMC02099, SMC03025, SMC03159	17	234	986	1.23931623931624	0.999968360742074	1	1						
INTERPRO	IPR003593:AAA+ ATPase domain	5	4.03225806451613	0.612522927263845	SM_B21177, SMC04300, SMC03025, SMC02796, SMC03159	93	222	4859	1.17674125738642	1	1	1						
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	7	5.64516129032258	0.657127860565814	SM_B21177, SMC04300, SMC03025, SMC03242, SMC02796, SMC03159, SMA0851	93	349	4859	1.04794035185014	1	1	1						
SMART	SM00382:AAA	5	4.03225806451613	0.665735621286264	SM_B21177, SMC04300, SMC03025, SMC02796, SMC03159	22	222	1067	1.09234234234234	0.999999999966117	1	1						
UP_KW_LIGAND	KW-0547~Nucleotide-binding	5	4.03225806451613	0.703821814548082	SMC00913, SM_B21177, SMC02099, SMC03025, SMC03159	17	278	986	1.0431654676259	0.999999865044719	1	1						
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	7.25806451612903	0.748961605194055	SMC00913, SM_B21177, SMC02099, SMC04300, SMC03025, SMC02796, SMC03159, SMA0745, SMC02438	74	452	3484	0.937455154269314	1	1	1						
UP_SEQ_FEATURE	DOMAIN:ABC transporter	3	2.41935483870968	0.817791653417279	SM_B21177, SMC04300, SMC03159	71	189	4331	0.968253968253968	1	1	1						
INTERPRO	IPR017871:ABC transporter, conserved site	3	2.41935483870968	0.836515307712554	SM_B21177, SMC04300, SMC03159	93	169	4859	0.927467073869059	1	1	1						
INTERPRO	IPR003439:ABC transporter-like	3	2.41935483870968	0.88149168275231	SM_B21177, SMC04300, SMC03159	93	190	4859	0.824957555178268	1	1	1						
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	6	4.83870967741936	0.991513722943774	SM_B21285, SMC03025, SMC03242, SMC03012, SMC02796, SMC03159	47	559	2380	0.54352376964945	1	1	0.991513722943774						
																		
Annotation Cluster 8	Enrichment Score: 0.06620667920816065																	
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR						
UP_SEQ_FEATURE	TRANSMEM:Helical	18	14.5161290322581	0.637544629442128	SMC01869, SMC03829, SMC01180, SM_B21505, SMC03042, SMC03054, SMC01095, SMC03167, SMC03014, SMC02882, SMC02243, SMA0863, SMC02545, SMC01104, SMC00399, SMC01721, SMC02513, SM_B21292	71	1104	4331	0.994565217391304	1	1	1						
UP_KW_DOMAIN	KW-0812~Transmembrane	18	14.5161290322581	0.836660409351662	SMC01869, SMC03829, SMC01907, SMC01180, SM_B21505, SMC03042, SMC01095, SMC03057, SMC03167, SMC03014, SMC02882, SMC02243, SMA0863, SMC02545, SMC01104, SMC01721, SMC02513, SM_B21292	37	954	1770	0.902600713921469	0.999883732773082	1	1						
UP_KW_DOMAIN	KW-1133~Transmembrane helix	10	8.06451612903226	0.874904981598314	SMC01095, SMC03014, SMC02882, SMC02243, SMA0863, SMC01104, SMC01721, SMC01180, SM_B21292, SM_B21505	37	574	1770	0.833411809021565	0.999969366256143	1	1						
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	25	20.1612903225806	0.999875520711022	SMC01869, SMC03829, SMC01907, SM_B21505, SMC03020, SMC03042, SMC03021, SMC03167, SMA0863, SMC01104, SMC00399, SMC01721, SMC02513, SM_B21177, SMC01180, SMC03054, SMC01095, SMC03057, SMC04300, SMC03014, SMC02882, SMC02243, SMC02545, SMC03159, SM_B21292	48	1316	1767	0.699325607902736	1	0.999875520711022	0.999875520711022						
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	18	14.5161290322581	0.999999926857427	SMC01869, SMC03829, SMC01907, SMC01180, SM_B21505, SMC03042, SMC03054, SMC01095, SMC03057, SMC03167, SMC03014, SMC02882, SMC02243, SMC01104, SMC00399, SMC01721, SMC02513, SM_B21292	64	1148	1968	0.482142857142857	1	1	1						
																		
																		
																		
TABLE																		
ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE			
SMa5031	(2Fe-2S)-binding protein(SM2011_RS03815)	Sinorhizobium meliloti 2011			GO:0009055~electron carrier activity,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,							KW-0560~Oxidoreductase,					
