CHART														
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
INTERPRO	IPR000477:Reverse transcriptase	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
INTERPRO	IPR013597:Group II intron, maturase-specific	6	35.2941176470588	1.54374145119358E-10	SINMEB_5740	11	6	1034	94	2.46998688169242E-09	8.23328773969907E-10	8.23328773969907E-10		
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	35.2941176470588	2.8314820588583E-10	SINMEB_5740	11	6	916	83.2727272727273	4.5303707452149E-09	4.53037129417328E-09	4.53037129417328E-09		
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	35.2941176470588	3.70279290130476E-10	SINMEB_5740	8	7	679	72.75	2.22167551022778E-09	1.11083787039143E-09	1.11083787039143E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	35.2941176470588	1.03651283160444E-09	SINMEB_5740	8	6	431	53.875	3.10953862658891E-09	4.14605132641776E-09	4.14605132641776E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	35.2941176470588	1.33618107932449E-07	SINMEB_5740	8	12	431	26.9375	4.00854270221629E-07	2.67236215864897E-07	2.67236215864897E-07		
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	7	41.1764705882353	0.001108862500427	SINMEB_5740, SINMEB_5826	8	106	431	3.55778301886792	0.003322900136576	0.001478483333902	0.001478483333902		
														
														
														
TABLE														
ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_SEQ_FEATURE		
SinmeB_6189	DUF2249 domain-containing protein(SM2011_RS03425)	Sinorhizobium meliloti 2011				IPR018720:Domain of unknown function DUF2249,						DOMAIN:DUF2249,		
SinmeB_6204	NnrU family protein(C770_RS22320)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,		IPR009915:NnrU,		KW-0472~Membrane,	KW-0812~Transmembrane,			DOMAIN:NnrU,TRANSMEM:Helical,		
SinmeB_6204	NnrU family protein(SM2011_RS03495)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR009915:NnrU,		KW-0472~Membrane,	KW-0812~Transmembrane,			DOMAIN:NnrU,TRANSMEM:Helical,		
SinmeB_6162	cbb3-type cytochrome oxidase assembly protein CcoS(ccoS)	Sinorhizobium meliloti 2011	GO:0009399~nitrogen fixation,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR004714:Cytochrome oxidase maturation protein cbb3-type,	KW-0535~Nitrogen fixation,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,			TRANSMEM:Helical,		
SinmeB_6185	copper-containing nitrite reductase(C770_RS22410)	Sinorhizobium meliloti GR4	GO:0019333~denitrification pathway,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0050421~nitrite reductase (NO-forming) activity,	IPR001117:Multicopper oxidase, type 1,IPR001287:Nitrite reductase, copper-type,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR008972:Cupredoxin,IPR011707:Multicopper oxidase, type 3,	KW-0534~Nitrate assimilation,	KW-0574~Periplasm,	KW-0677~Repeat,KW-0732~Signal,	KW-0186~Copper,KW-0274~FAD,KW-0285~Flavoprotein,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,	DOMAIN:Plastocyanin-like,DOMAIN:Plastocyanin-like 1,DOMAIN:Plastocyanin-like 2,METAL:Copper 1	 type 1,METAL:Copper 2	 type 2,SIGNAL:Tat-type signal,
SinmeB_6185	nitrite reductase, copper-containing(nirK)	Sinorhizobium meliloti 2011	GO:0019333~denitrification pathway,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0050421~nitrite reductase (NO-forming) activity,	IPR001117:Multicopper oxidase, type 1,IPR001287:Nitrite reductase, copper-type,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR008972:Cupredoxin,IPR011707:Multicopper oxidase, type 3,	KW-0534~Nitrate assimilation,	KW-0574~Periplasm,	KW-0677~Repeat,KW-0732~Signal,	KW-0186~Copper,KW-0274~FAD,KW-0285~Flavoprotein,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,	DOMAIN:Plastocyanin-like,DOMAIN:Plastocyanin-like 1,DOMAIN:Plastocyanin-like 2,METAL:Copper 1	 type 1,METAL:Copper 2	 type 2,SIGNAL:Tat-type signal,
SinmeB_6162	nitrogen fixation protein FixS(C770_RS22525)	Sinorhizobium meliloti GR4	GO:0009399~nitrogen fixation,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR004714:Cytochrome oxidase maturation protein cbb3-type,	KW-0535~Nitrogen fixation,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,			TRANSMEM:Helical,		
SinmeB_5826	ornithine carbamoyltransferase(C770_RS24185)	Sinorhizobium meliloti GR4	GO:0006526~arginine biosynthetic process,GO:0019546~arginine deiminase pathway,GO:0019547~arginine catabolic process to ornithine,	GO:0005737~cytoplasm,	GO:0004585~ornithine carbamoyltransferase activity,GO:0016597~amino acid binding,	IPR002292:Ornithine/putrescine carbamoyltransferase,IPR006130:Aspartate/ornithine carbamoyltransferase,IPR006131:Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain,IPR006132:Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding,IPR024904:Ornithine carbamoyltransferase,	KW-0056~Arginine metabolism,	KW-0963~Cytoplasm,			KW-0808~Transferase,	BINDING:Carbamoyl phosphate,BINDING:Ornithine,DOMAIN:OTCace,DOMAIN:OTCace_N,REGION:Carbamoyl phosphate binding,REGION:Ornithine binding,		
SinmeB_5826	ornithine carbamoyltransferase(SM2011_RS01900)	Sinorhizobium meliloti 2011	GO:0006526~arginine biosynthetic process,GO:0019546~arginine deiminase pathway,GO:0019547~arginine catabolic process to ornithine,	GO:0005737~cytoplasm,	GO:0004585~ornithine carbamoyltransferase activity,GO:0016597~amino acid binding,	IPR002292:Ornithine/putrescine carbamoyltransferase,IPR006130:Aspartate/ornithine carbamoyltransferase,IPR006131:Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain,IPR006132:Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding,IPR024904:Ornithine carbamoyltransferase,	KW-0056~Arginine metabolism,	KW-0963~Cytoplasm,			KW-0808~Transferase,	BINDING:Carbamoyl phosphate,BINDING:Ornithine,DOMAIN:OTCace,DOMAIN:OTCace_N,REGION:Carbamoyl phosphate binding,REGION:Ornithine binding,		
SinmeB_5740	reverse transcriptase(C770_RS18725)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_5740	reverse transcriptase(C770_RS21565)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_5740	reverse transcriptase(C770_RS22085)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_5740	reverse transcriptase(C770_RS22665)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_5740	reverse transcriptase(C770_RS23255)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_5740	reverse transcriptase(C770_RS24095)	Sinorhizobium meliloti GR4			GO:0003723~RNA binding,GO:0003964~RNA-directed DNA polymerase activity,	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA,IPR000477:Reverse transcriptase,IPR013597:Group II intron, maturase-specific,					KW-0548~Nucleotidyltransferase,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	DOMAIN:Reverse transcriptase,		
SinmeB_6189	universal stress protein(C770_RS22390)	Sinorhizobium meliloti GR4				IPR018720:Domain of unknown function DUF2249,						DOMAIN:DUF2249,		
